ID;Nama;Tempat;Rating_Code;Waktu;Ratings
1;Kame Kuro;Jawa Timur Park 2;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;2 years ago;5
1;Kame Kuro;Pasir Kadilangu Beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png;2 years ago;1
1;Kame Kuro;Watukarung Beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;2 years ago;5
1;Kame Kuro;Baru Beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png;a year ago;1
1;Kame Kuro;Sepanjang Beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png;a year ago;1
1;Kame Kuro;Malioboro Yogyakarta;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;3 months ago;5
1;Kame Kuro;Lombok;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png;2 years ago;1
2;Jonathan Andrew;Borobudur Temple;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;2 weeks ago;5
2;Jonathan Andrew;Nusa Dua;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;2 years ago;5
2;Jonathan Andrew;Bromo Tengger Semeru National Park;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;2 weeks ago;5
2;Jonathan Andrew;Sari Park;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;2 weeks ago;5
2;Jonathan Andrew;Malioboro Yogyakarta;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;2 weeks ago;5
3;Claudio Denta;Gunung Peyek;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;2 years ago;5
3;Claudio Denta;Sadranan Beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;3 months ago;5
3;Claudio Denta;Magesing Beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;a year ago;5
3;Claudio Denta;Ketingan Sidoarjo Beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;a year ago;5
3;Claudio Denta;Mentari Beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;a year ago;5
3;Claudio Denta;Sadranan Beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;3 months ago;5
3;Claudio Denta;Malioboro Yogyakarta;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;3 months ago;5
3;Claudio Denta;Lombok;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;2 years ago;5
4;Sri Kusasi;Blue Lagoon Beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;8 months ago;5
4;Sri Kusasi;Goa Lawah Beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;8 months ago;5
4;Sri Kusasi;Prambanan Temple;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;8 months ago;5
4;Sri Kusasi;Borobudur Temple;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;8 months ago;5
4;Sri Kusasi;Amed Beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;8 months ago;5
4;Sri Kusasi;Kuta Beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;8 months ago;5
4;Sri Kusasi;Bromo Tengger Semeru National Park;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;8 months ago;5
4;Sri Kusasi;Nusa Dua Beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;8 months ago;5
4;Sri Kusasi;Sari Park;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;7 months ago;5
4;Sri Kusasi;Parangtritis Beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;7 months ago;5
4;Sri Kusasi;Perkebunan Teh Rancabali;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;8 months ago;5
4;Sri Kusasi;White Crater;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;8 months ago;5
4;Sri Kusasi;Malioboro Yogyakarta;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;7 months ago;5
5;Bima Bheemo;Malioboro Yogyakarta;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;3 weeks ago;5
5;Bima Bheemo;Sari Park;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;3 weeks ago;5
5;Bima Bheemo;Tempo Gelato Prawirotaman;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;3 weeks ago;5
5;Bima Bheemo;Indrayanti Beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;3 weeks ago;5
5;Bima Bheemo;Sepanjang Beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;4 years ago;5
6;Hasan Basri;Malioboro Yogyakarta;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;a month ago;5
6;Hasan Basri;Prambanan Temple;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;a month ago;5
6;Hasan Basri;Borobudur Temple;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;a month ago;5
6;Hasan Basri;Uluwatu Temple;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;a month ago;5
6;Hasan Basri;Lombok;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png;2 years ago;1
7;Ratih Pramundari;Pasir Putih Beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;2 years ago;5
7;Ratih Pramundari;Indrayanti Beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;2 years ago;5
7;Ratih Pramundari;Sari Park;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;2 years ago;5
7;Ratih Pramundari;Tempo Gelato Prawirotaman;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;2 years ago;5
7;Ratih Pramundari;Malioboro Yogyakarta;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;7 months ago;5
8;Echie;Indrayanti Beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png;a month ago;1
8;Echie;Malioboro Yogyakarta;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;a month ago;5
8;Echie;Nglambor Beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;a month ago;5
8;Echie;Tempo Gelato Prawirotaman;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;a month ago;5
8;Echie;Lombok;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png;3 years ago;1
9;Bagus Prasetya;Bromo Tengger Semeru National Park;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;7 months ago;5
9;Bagus Prasetya;Sari Park;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;7 months ago;5
9;Bagus Prasetya;Malioboro Yogyakarta;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;7 months ago;5
9;Bagus Prasetya;Tempo Gelato Prawirotaman;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;7 months ago;5
9;Bagus Prasetya;Malioboro Yogyakarta;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;7 months ago;5
10;Agus PD;Malioboro Yogyakarta;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;3 months ago;5
10;Agus PD;Prambanan Temple;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;2 years ago;5
10;Agus PD;Gunung Ngampon;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;2 months ago;5
10;Agus PD;Lombok;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png;3 years ago;1
10;Agus PD;Lombok;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;3 years ago;5
10;Agus PD;Bandengan Beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png;4 years ago;1
10;Agus PD;Batu Belig Beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png;3 years ago;1
11;Dave Sugiharto;Bromo Tengger Semeru National Park;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png;a year ago;1
11;Dave Sugiharto;Malioboro Yogyakarta;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;2 weeks ago;5
11;Dave Sugiharto;Taman Safari Indonesia Bogor;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;a month ago;5
11;Dave Sugiharto;Taman Mini Indonesia Indah;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;a month ago;5
11;Dave Sugiharto;Ubud;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;5 years ago;5
12;Rafid Fahar;Sari Park;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;5 months ago;5
12;Rafid Fahar;Indrayanti Beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;5 months ago;5
12;Rafid Fahar;Tempo Gelato Prawirotaman;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;5 months ago;5
12;Rafid Fahar;Bromo Tengger Semeru National Park;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;5 months ago;5
12;Rafid Fahar;Malioboro Yogyakarta;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;5 months ago;5
13;Seto Bradley;Kwala Indah Beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;a year ago;5
13;Seto Bradley;Sari Park;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;a year ago;5
13;Seto Bradley;Danau Toba;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;a year ago;5
13;Seto Bradley;Biru Beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;3 years ago;5
13;Seto Bradley;Malioboro Yogyakarta;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;a month ago;5
14;Antok Frans;Kuta Beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;4 months ago;5
14;Antok Frans;Soge Beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;9 months ago;5
14;Antok Frans;Mengening beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;a year ago;5
14;Antok Frans;Yeh Gangga Beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;3 years ago;5
14;Antok Frans;Sadeng Beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;3 years ago;5
14;Antok Frans;Pidakan Beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png;5 years ago;1
14;Antok Frans;Klayar Beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;6 years ago;5
14;Antok Frans;Malioboro Yogyakarta;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;10 months ago;5
14;Antok Frans;Grojogan Sewu Waterfall;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;6 years ago;5
14;Antok Frans;Telaga Menjer;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;3 years ago;5
14;Antok Frans;Wisata Telaga Rambut Monte;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;3 years ago;5
14;Antok Frans;Ubud;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;4 years ago;5
14;Antok Frans;Kintamani Lookout;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;3 years ago;5
15;Dwi Sabdono;Sari Park;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;a month ago;5
15;Dwi Sabdono;Bromo Tengger Semeru National Park;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;a month ago;5
15;Dwi Sabdono;Indrayanti Beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;a month ago;5
15;Dwi Sabdono;Tempo Gelato Prawirotaman;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;a month ago;5
15;Dwi Sabdono;Malioboro Yogyakarta;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;a month ago;5
16;Sadasa Prakosa;Malioboro Yogyakarta;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;2 months ago;5
16;Sadasa Prakosa;Prambanan Temple;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;2 years ago;5
16;Sadasa Prakosa;Taman Hutan Raya Ir. H. Djuanda;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;2 years ago;5
16;Sadasa Prakosa;Borobudur Temple;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;2 years ago;5
16;Sadasa Prakosa;Gunung Putri Lembang;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;2 years ago;5
17;Putri A.;Samas Beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;4 months ago;5
17;Putri A.;Sadranan Beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;4 months ago;5
17;Putri A.;Lapin Tanjungpunak Beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;a year ago;5
17;Putri A.;Koneng Pasir Putih Teluk Makmur Beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png;a year ago;1
17;Putri A.;Malioboro Yogyakarta;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;3 months ago;5
17;Putri A.;Prambanan Temple;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;4 months ago;5
17;Putri A.;Prambanan Temple;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;4 months ago;5
17;Putri A.;Mount Merapi;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;7 months ago;5
17;Putri A.;Gunung Putri Lembang;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;3 months ago;5
18;Abby Marcel;Gunung Lembu;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;6 months ago;5
18;Abby Marcel;Malioboro Yogyakarta;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;6 months ago;5
18;Abby Marcel;Dunia Fantasi;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;2 months ago;5
18;Abby Marcel;Sari Park;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;2 months ago;5
18;Abby Marcel;Ancol Dreamland;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;2 months ago;5
19;Rizaldi Elias;Malioboro Yogyakarta;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;5 months ago;5
20;Priyo PW;Lenggoksono Beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;a year ago;5
20;Priyo PW;BJBR Beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;2 years ago;5
20;Priyo PW;Sari Park;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;3 months ago;5
20;Priyo PW;Indrayanti Beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;3 months ago;5
20;Priyo PW;Malioboro Yogyakarta;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;3 months ago;5
21;Suip Hazlee;Waecicu Beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;3 years ago;5
21;Suip Hazlee;Kintamani Lookout;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;a year ago;5
21;Suip Hazlee;Malioboro Yogyakarta;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;a month ago;5
21;Suip Hazlee;Ubud;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;a month ago;5
22;Budi Soleman;Tanjung Benoa Beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;3 years ago;5
22;Budi Soleman;Wayan Beachfront Restaurant;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;3 years ago;5
22;Budi Soleman;Riung Gunung;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;2 months ago;5
22;Budi Soleman;Telaga Biru Cisoka;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;3 years ago;5
22;Budi Soleman;Tanjung Pasir boat;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;4 years ago;5
22;Budi Soleman;Taman Pandanaran;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png;2 years ago;1
22;Budi Soleman;Taman Mini Indonesia Indah;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;4 years ago;5
22;Budi Soleman;Taman Safari Indonesia Bogor;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;4 years ago;5
22;Budi Soleman;Taman Makam Marfati Selapajang;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;4 years ago;5
22;Budi Soleman;Taman Santap Rumah Kayu;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;4 years ago;5
22;Budi Soleman;Malioboro Yogyakarta;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;a week ago;5
22;Budi Soleman;Prambanan Temple;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;3 years ago;5
22;Budi Soleman;Ubud;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;3 years ago;5
22;Budi Soleman;Curug Garden;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;3 years ago;5
22;Budi Soleman;Curug Cigangsa;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;4 years ago;5
22;Budi Soleman;Kebun Begonia;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;4 years ago;5
23;Andi Suhelman;Taman Hutan Kota Tebet;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;3 years ago;5
23;Andi Suhelman;Malioboro Yogyakarta;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;a month ago;5
23;Andi Suhelman;Dunia Fantasi;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;2 years ago;5
24;Egi Dio;Double Six Beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;4 years ago;5
24;Egi Dio;Malioboro Yogyakarta;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png;5 months ago;1
24;Egi Dio;Sari Park;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png;5 months ago;1
24;Egi Dio;Prambanan Temple;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png;5 months ago;1
24;Egi Dio;Borobudur Temple;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;5 months ago;5
25;indie the aulurophile;Ancol Dreamland;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;4 years ago;5
25;indie the aulurophile;Taman Mini Indonesia Indah;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png;7 months ago;1
25;indie the aulurophile;Tempo Gelato Prawirotaman;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;4 years ago;5
25;indie the aulurophile;Taman Rekreasi Wiladatika;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png;4 years ago;1
25;indie the aulurophile;Taman Belajar Dunia Baru;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;6 years ago;5
25;indie the aulurophile;Malioboro Yogyakarta;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;7 months ago;5
25;indie the aulurophile;Kebun Begonia;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;3 years ago;5
26;Waqqas Hanafi;Ngedan Beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;2 years ago;5
26;Waqqas Hanafi;Tanjung Lobang Beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;3 years ago;5
26;Waqqas Hanafi;Samas Beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;3 years ago;5
26;Waqqas Hanafi;Klayar Beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png;5 years ago;1
26;Waqqas Hanafi;Sundak Beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;4 years ago;5
26;Waqqas Hanafi;Timang Beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png;5 years ago;1
26;Waqqas Hanafi;Tanjung Lobang Sea Cliff;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;3 years ago;5
26;Waqqas Hanafi;Taman Jaya Park;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;2 years ago;5
26;Waqqas Hanafi;Sari Park;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;2 years ago;5
26;Waqqas Hanafi;Tempo Gelato Prawirotaman;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;6 years ago;5
26;Waqqas Hanafi;Malioboro Yogyakarta;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;4 months ago;5
26;Waqqas Hanafi;Prambanan Temple;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;6 years ago;5
26;Waqqas Hanafi;Lombok;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;a month ago;5
27;HRH Ihsan;Tempo Gelato Prawirotaman;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;a year ago;5
27;HRH Ihsan;Sari Park;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;a year ago;5
27;HRH Ihsan;Prambanan Temple;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;a year ago;5
27;HRH Ihsan;Borobudur Temple;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;a year ago;5
27;HRH Ihsan;Malioboro Yogyakarta;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;2 months ago;5
28;Octavianti Shanna;Maju Beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;a month ago;5
28;Octavianti Shanna;Karang Beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;2 months ago;5
28;Octavianti Shanna;Ancol Dreamland;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;4 months ago;5
28;Octavianti Shanna;Kuta Beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;2 months ago;5
28;Octavianti Shanna;Sari Park Waterfall & Natural pool;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;2 months ago;5
28;Octavianti Shanna;Curug Omas Waterfall;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png;4 months ago;1
28;Octavianti Shanna;Taman Hutan Raya Ir. H. Djuanda;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;4 months ago;5
28;Octavianti Shanna;Penangkaran Rusa Taman Hutan Raya Juanda;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;4 months ago;5
28;Octavianti Shanna;Malioboro Yogyakarta;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png;a month ago;1
28;Octavianti Shanna;Danau Setu Babakan;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;a week ago;5
28;Octavianti Shanna;Danau Beratan;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;2 months ago;5
28;Octavianti Shanna;Danau Buyan;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;2 months ago;5
28;Octavianti Shanna;Lombok;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;4 months ago;5
28;Octavianti Shanna;Curug Sigay;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png;a week ago;1
28;Octavianti Shanna;Tebing Keraton;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;4 months ago;5
28;Octavianti Shanna;Dago Dreampark;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;4 months ago;5
29;DF;Malioboro Yogyakarta;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png;3 months ago;1
29;DF;Prambanan Temple;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;a year ago;5
29;DF;Sari Park;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;a year ago;5
29;DF;Borobudur Temple;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;a year ago;5
29;DF;Kebun Teh Kertamanah;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;a year ago;5
30;Muh Yusuf;The Anvaya Beach Resort Bali;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;3 years ago;5
30;Muh Yusuf;Kuta Beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;2 years ago;5
30;Muh Yusuf;Gunung Geulis Cottage;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;9 months ago;5
30;Muh Yusuf;Royal Tulip Golf Resort Gunung Geulis;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;2 years ago;5
30;Muh Yusuf;Taman Heulang;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;3 years ago;5
30;Muh Yusuf;Taman Budaya Sentul City;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;5 years ago;5
30;Muh Yusuf;Taman Mini Indonesia Indah;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;5 years ago;5
30;Muh Yusuf;Malioboro Yogyakarta;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;6 months ago;5
30;Muh Yusuf;Borobudur Temple;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;6 months ago;5
30;Muh Yusuf;Lombok;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;2 years ago;5
31;Rizka K;Kukup Beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;11 months ago;5
31;Rizka K;Ngandong Beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;11 months ago;5
31;Rizka K;Cemara Tuban Beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;2 years ago;5
31;Rizka K;Pasir Putih Beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;2 years ago;5
31;Rizka K;Bromo Tengger Semeru National Park;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;6 months ago;5
31;Rizka K;Ubud;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;2 years ago;5
